"LZCODE","p","b","n","rsq","maxspi","minspi","meanspi"
"AO02",0.724067429229183,-7.00730395945996,231,0.0697771131137909,0.749591046780642,-1.15390090797293,-0.398809225581813
"AO03",0.58008389347169,7.10735934150423,438,0.0381642231851712,0.967181348395377,-1.74168120590571,-0.332972441706256
"AO07",0.206040343190864,-14.0330300520648,622,0.0378108410641729,0.455887374549462,-1.79085126929457,-0.674673194681688
"AO09",0.0134662837555877,20.1255450873427,544,0.0784554530956018,1.05380981600796,-2.64549791186208,-0.933972730120213
"AO10",0.0325771902573405,-42.5075254532745,248,0.0461354019854191,-0.708446232536202,-3.25001416178835,-1.86773174826291
"AO11",0.0250762069542363,58.0463231367128,206,0.137432372399552,-0.157769819132013,-2.40262719822135,-1.36940084398199
"BF01",0.0103429317458752,101.974730089334,303,0.0868155704475357,1.25040544980659,0.296918393554528,0.644776883120504
"BF02",0.313679220822375,18.3468300617728,436,0.134682136745668,1.42202115599672,-0.178256660048636,0.496025233069969
"BF03",0.389435724232999,-9.48147719371782,585,0.120839979880965,2.06395970319325,-0.194847553098768,1.03310444823344
"BF04",0.0785194222999056,-26.8950240068147,514,0.110888890704175,1.83350931259645,0.455704913137973,1.14273920921469
"BF05",0.393487703945115,16.0718014080525,1180,0.0690597464554851,1.95848535155867,0.690230831273305,1.5502943648422
"BF07",0.430168088822461,10.8514616710848,678,0.0865021705076967,1.52122853727854,-0.502959949484211,0.488487619649373
"BF09",0.00818019365946342,32.9683080589158,833,0.0756292043527711,1.95943432152556,-0.405588568326762,1.19586738820556
"BI02",0.670117055262573,21.7666448213246,350,0.130505366209029,-0.0590843823031403,-0.876522355089617,-0.418375820954059
"BI03",0.779355162296473,4.35340469563543,314,0.11927863354504,0.369419043897241,-1.11586307309217,-0.31656512986045
"BI06",0.122358841757443,-62.153082532868,232,0.191817611274275,-0.206593664600823,-1.39744742332382,-0.717534055154796
"BI07",0.0988822897611141,-79.5206312663346,249,0.0846916879745739,0.139958552772857,-0.670265646836594,-0.31570537891914
"BI08",0.00224911861661609,-30.1157866129457,638,0.131379432217937,0.763660758469666,-1.40375554998821,-0.76597375074018
"BI09",0.0533995291432728,16.6167752101713,634,0.1289093563657,0.733603063326061,-1.29288439703719,-0.349678146917795
"CD03",0.36127421069231,16.4276345432335,447,0.157281462974365,0.694295681512232,-0.943689664317491,-0.0373351284132577
"CD09",0.121949065949942,-17.6858715488011,359,0.171166097894514,1.75911215791143,-1.41749382238275,0.320890461107664
"CD10",0.0014766244835,-65.2200155220827,339,0.258122661659185,0.910730858118695,-1.75754156274708,-0.468815847510707
"CD12",0.546041542777365,5.21705784087596,788,0.133479764477137,1.77542634673656,-2.08304477663988,0.118794839807905
"CD14",0.529030980082972,14.4482471011415,222,0.107343323346831,2.54457069705175,-2.2859581303299,0.703168105366893
"CD16",0.186371289164613,18.3859671891519,418,0.204080244797508,1.28176475846861,-0.702128972524305,0.308393485363089
"CD20",0.0839179346347546,32.2794724000241,292,0.157136194729992,1.29450324175862,-0.873907535955636,0.0696059886978152
"CD21",0.256125008304013,-37.2572379571453,268,0.234044653874389,0.112857316875492,-1.39093276874465,-0.661977415244011
"CD23",0.479014626112594,16.319282453765,519,0.166640725552311,0.577395641783434,-0.684765670905335,-0.0283790525167528
"CD24",0.295911406413365,23.9923908508278,287,0.120841121243983,1.0210493480476,-0.555370313516213,0.0775306755128792
"CD25",0.628572571092243,16.4077278345476,250,0.172698326965342,0.837326812774067,-0.666425054808123,0.00131128075249865
"CD28",0.458737801847309,-15.8204101568843,438,0.132821692605706,1.02777020366951,-0.50817129685222,0.314763281864069
"CD29",0.0597898937011341,-18.993146015383,633,0.115145359677411,1.45264704070442,-1.30407082691631,0.0811356078871666
"ET03",0.854649853796328,-6.1837391814122,217,0.112682685323385,0.307791882720315,-2.00762678838767,-0.803233379052346
"ET04",0.556005739083716,5.63655212619909,708,0.106917688291441,1.25117139963642,-2.15695421386006,-0.668088053347481
"ET05",0.194679336168478,53.2510957319388,338,0.110993088564763,1.07550723601612,-0.499850009744588,0.317056626437245
"ET09",0.023057009492774,30.5782619445376,532,0.0908184974007288,1.35507160181586,-1.85382982434576,-0.0805974121139347
"ET105",0.358954496072674,-11.1938864129719,264,0.246666108734237,1.90020537114062,-2.44779732989591,-0.581758218809023
"ET108",0.712513943247868,6.02176427771532,216,0.190019643136326,1.52158894084745,-0.945255092686701,0.292313351703382
"ET118",0.0268906137251885,54.098071585844,300,0.330437780452201,0.943534208446498,-1.25517571003896,-0.251405117831843
"ET12",0.0901238243264772,-13.73449027016,224,0.128458356487518,2.18089216864198,-2.01320845194585,0.388867081506192
"ET131",0.908419122840791,1.36929208882905,322,0.192324338738739,1.28017714827803,-2.35496991159373,-1.152078410751
"ET133",7.85905740145625e-05,-32.6836663349535,381,0.153495113081844,2.26823825012978,-3.18996364611327,-0.130595972505605
"ET143",0.175200750684981,-17.6093224558853,310,0.30354085759677,1.17390147099922,-1.42972072495368,-0.383342119663436
"ET153",0.0917273834069585,-18.051721997624,401,0.134129630938231,1.9279609221519,-2.6258186199584,-0.729308883144229
"ET167",0.434396402228512,15.0425711303539,246,0.117765967947446,1.87846855066908,-0.96379001857916,0.100739862855092
"ET168",0.462286867045408,6.17110658659393,450,0.195296831203224,1.20213473532646,-2.47111971573448,-0.292476279584753
"ET169",0.866976066345574,1.93579895535576,285,0.148076372165589,1.39148878701048,-1.67662153737081,0.0359912292118084
"ET174",0.0426042555839897,38.9942273384597,353,0.173556379342558,0.996298397818999,-0.950196283872071,0.0856569637044052
"ET175",0.656281871249852,6.18739193828585,212,0.0443812357942638,1.24492127235621,-1.57363935100762,-0.0302869642129908
"ET177",0.636190524814698,-4.53070887903785,374,0.125477834958988,1.78008365363261,-1.08067142556495,0.0427788940078897
"ET26",0.906133501350067,-1.23434937786738,279,0.0935869690163889,1.66620660671244,-1.74058774145028,-0.476366947776185
"ET28",0.0745654636118401,-13.5075653862421,342,0.10646175388194,2.17534996484412,-2.52367964952697,-0.16408439363069
"ET30",0.377640537506254,-9.87063561834134,252,0.119188077434249,1.78148000146792,-1.36970295916539,0.0450176505321918
"ET32",0.772988384438531,5.59148940694973,230,0.11087820307478,1.19247354338156,-1.37849633552263,0.0904784508814491
"ET33",0.00216268313340818,43.7795497433054,294,0.135738246160803,1.34736977409094,-0.973710592158719,0.00982181982000028
"ET35",0.786357658466444,0.780444786301597,1560,0.132602757863863,1.83939421802238,-2.80002692062409,-0.253008168987127
"ET37",0.391571785307183,7.88006146788711,495,0.165251658466842,1.91903134373142,-1.76518592257277,0.0424352239059753
"ET39",0.435539501560432,19.0450412821524,576,0.0669763677395818,1.91918265049504,-0.317918801219968,0.351293003369755
"ET40",0.0796187354088449,-12.9104716818983,396,0.186287070931139,1.92423045810943,-1.20849911280023,0.265348925266817
"ET41",0.360342610999254,-11.6696563857177,506,0.0686144083792331,1.77090096721744,-1.17409877075695,0.174075128380666
"ET43",0.0544577463368263,-24.5926321854354,527,0.0716413646325912,0.793857823882754,-1.57026232388957,-0.648834304154452
"ET48",0.119946027696951,16.3293124046542,229,0.13242632090768,2.20183330606571,-1.96732794366653,-0.277279430610217
"ET54",0.31033669010615,-15.2686516838882,232,0.192314201284908,1.04058852731149,-2.87136803327339,-1.13158463461289
"ET58",0.212120768223531,14.4887900350578,278,0.122446991385334,1.78890409960699,-2.22578996898458,-0.14688882676704
"ET61",0.6353609134554,-2.44325673096861,920,0.0923559306059412,2.97223840822483,-1.5892928077089,-0.101043612494625
"ET69",0.698435326187155,3.76844774619559,352,0.167202728279832,2.05147017686398,-1.38610330057204,0.0325534797341352
"ET75",0.187848965747574,18.0297311344631,275,0.136174069065837,1.60820720945409,-1.19667449962402,0.114872553694247
"ET79",0.921614479618565,0.962401025374936,257,0.118398241837277,1.35567360568579,-1.56731221643065,-0.155625488702171
"ET87",0.626196223895041,9.34468063120038,298,0.216413469062273,1.24666192097624,-0.758311046007026,0.340801044584666
"ET93",0.73423426008141,3.04797892002892,342,0.182731942127802,2.06689556953361,-1.80175200536515,-0.433769722609025
"ET97",0.165288117008128,5.43986912815208,1352,0.140474173923599,2.14666944391571,-2.41122195342777,-0.286829365269666
"GN02",0.890980994148249,-1.20089296089224,560,0.114656227235261,1.22083276734663,-2.60040456029508,-0.748479646717202
"GN03",0.182305107717728,13.6190228669919,833,0.137274880104094,1.85121913721159,-2.80992447891571,-0.632171124638793
"GN04",0.225732588724621,30.8199302297169,330,0.0726568540736142,1.96939613045959,-1.68527918539864,0.533819263693897
"GN07",0.00974762909556769,36.1301955629678,615,0.203133645321717,0.947292304276426,-1.53492426163337,-0.277527951920518
"GN10",0.33092749781489,-15.0137614158386,502,0.205324912167953,0.977999204603704,-1.40697064768589,-0.244076408910787
"GN11",0.998092926585595,-0.0316659780539877,543,0.111746464122717,1.63207705720462,-0.80167307150141,0.0554590881715196
"HN01",0.912872954273284,2.75131206458729,227,0.247831938575069,1.56094270039207,-0.106647524212219,0.541503470797015
"HN02",0.561802980459269,-10.8542998139423,472,0.128224697916169,1.52384407701861,0.215985426172577,0.91232948143832
"HN03",0.126649582665011,32.2017765571547,355,0.172486518324363,1.93381347126568,0.578450757996372,1.4031524595878
"HN04",0.408812362930892,-12.9659344083736,279,0.131056602065218,1.66036896701783,0.265413358100745,1.01862189892273
"HN05",5.52417414563111e-07,-24.8750185020667,2045,0.2062954855909,2.83904619822647,0.175470780649913,1.56624562871797
"HN07",0.496811239849239,-9.42708388478954,976,0.205915558531804,2.39176685778189,0.809335559406935,1.7276735122231
"HN08",0.450362241346989,-12.9968310532289,407,0.20248010882285,2.85684233321812,1.3933176953466,2.23205401597279
"HN09",0.0068423485537433,-17.4407071983612,1518,0.184219084042768,2.61011699463184,0.272609723350268,1.42381268230712
"HT01",0.168315390363679,-12.989824490839,1455,0.0531402149707928,2.02658208414331,0.268736954261897,1.20262716106492
"HT02",0.713164814459432,3.49645991068927,1503,0.0805162288268144,1.7963513112106,-0.128786594767363,0.996275024751686
"HT03",0.148832150117135,-13.0228169987115,1615,0.0953996582360087,1.95112466818143,0.0809336704488773,1.21688160203569
"HT04",0.892116657861915,-5.40822391284724,243,0.0858976060247108,1.82735702737621,0.889099927785678,1.33088729874319
"HT06",0.377338353413895,-20.153809011243,221,0.204717837308159,1.96866423726763,0.370906812767145,0.879243430656122
"HT07",0.406461795992456,5.09686284172324,2289,0.108251870278205,1.90458797545174,-0.43305226502652,0.882346187296897
"HT08",0.0143765845538083,-41.1776628536,627,0.151318275952237,1.83446773345507,-0.263381094318894,0.683499825550509
"KE01",0.655527553272961,-8.8946441366179,372,0.0980433846167557,1.10236728272933,-0.175267183579624,0.478167317203074
"KE05",0.783810563964294,-5.62235756553533,506,0.074904405006605,1.30521333549054,-1.60051447552953,0.6210041772265
"KE07",0.538370101721738,11.6322060624378,250,0.0456216549213649,1.3099315952671,-1.09814693497337,0.4501624642615
"KE09",0.227011864452189,-22.1505601333162,628,0.0547350755901447,1.76898270439382,-1.37354702512448,0.34452254545702
"KE10",0.905777929009323,-2.50095509682438,377,0.0698124279690956,0.453273559621422,-1.50463079897215,-0.23172402341459
"KE11",0.0262615118810348,-54.3567159404586,522,0.0641524451059555,0.503574700477781,-1.12438448488423,-0.0205626181872887
"KE12",0.132152729582268,-34.8201482787832,495,0.0760545925654593,0.996805145952575,-0.225951568395676,0.278906321052767
"KE13",0.404209343479611,-8.52250929594842,961,0.0874760222653693,1.09851231436276,-1.0282455620184,0.237343855982595
"KE15",0.321234641016038,12.906946253979,455,0.0328728604353107,1.77875067755208,-1.20925154261712,0.328087570859395
"KE16",0.290405928117759,9.63266290627141,1140,0.0768090612095156,1.58627105955665,-1.7658461127417,-0.568202913418051
"KE17",0.61834908254672,-23.5424007635177,271,0.140353114580408,-0.0194080026300609,-1.65406543512579,-0.775381663988267
"KE18",0.293539720386773,-14.0351015850385,479,0.0719386604605265,1.5638827012327,-1.88428466475212,0.54433142868541
"KE19",0.390115882071668,-4.33271184421338,1542,0.0624278828030385,1.56163080862571,-1.60690467027262,-0.102575838196711
"KE20",0.676379718570319,3.04137040395777,825,0.0573450918849659,2.38180036150146,-0.99333994378947,1.14289957680965
"KE21",0.0153273489841146,9.50120633356989,4327,0.0482614829925693,2.66346783629665,-2.12163578286461,1.1160965050637
"KE22",0.0328424216413091,16.4912292420079,1511,0.0535268263846213,2.2043257557189,-1.51028353029864,0.886375592004547
"KE23",0.0068975313431262,40.0135082621147,302,0.115218184417747,2.16995740845017,-0.975161803004525,0.937797100594653
"KE24",0.818796684310687,-2.43478106794352,1187,0.0792682506482649,1.53216865797022,-0.2127018458177,0.746113498531701
"LR01",0.76899350508471,-3.49958836731673,694,0.109287363812798,0.674762524148487,-2.16282316934267,-0.614303638553125
"LR02",0.690566106186606,5.10905724741926,899,0.153979155731469,0.618926525290289,-1.2674214635185,-0.338718669556151
"LR03",0.0212392692441498,-49.4769015309716,760,0.163516668751034,0.571144324794355,-0.570846682032601,0.0191036126075971
"LR04",0.221777676533534,16.1521992852249,1014,0.10516475657853,1.13576611709722,-0.921968980598691,0.156832646649492
"LR05",0.824368239273665,8.2101482438438,214,0.141981019522416,1.10129109670662,-0.204197452194401,0.488531339857271
"LR07",0.59300816548052,8.92748138814188,359,0.158000602067203,1.05889192480092,-1.70742508315798,-0.336842756037971
"LR08",0.476565817181221,24.3367311043252,372,0.0777585467988344,1.13576611709722,-0.467811099066141,0.459401048703103
"LS01",0.660534826240043,-11.9698160905649,396,0.144295895918693,0.489611890836676,-0.914620239400456,-0.127556962345521
"LS02",0.0485205174341353,34.5750309768829,340,0.0963738567412127,0.825685783917228,-1.44344905942309,-0.277849430764625
"LS03",0.397184204806799,-23.3944731805515,308,0.133908773964575,0.387905601166782,-1.12136140931583,-0.118171202076358
"LS04",0.126540769701554,20.4209014466613,972,0.0904699083081003,0.721992666431247,-1.49186424110799,-0.414695523218159
"LS05",0.975304139178491,0.573221230653147,340,0.111229061236368,0.639460254131121,-1.29531352075713,-0.340722478933361
"ML02",0.855502403779562,6.12383963466354,453,0.0415047643717021,1.7546899522236,-0.664095163357189,-0.0329135087632591
"ML03",0.496809988015737,14.6094073016752,552,0.0850970688296369,1.53189880720729,-0.789051898777088,0.593701887088645
"ML04",0.451334304749639,-19.916995236655,324,0.109283690184588,1.3700324199571,-0.961387739892429,0.531050973591095
"ML05",0.914228554625891,1.15724250701377,597,0.129106117104981,1.8079575585041,-1.13679257103423,-0.239313556649499
"ML06",0.172332980822714,-12.8425744497478,838,0.115304479655774,1.7658551927645,-0.981700485864958,0.132381278284873
"ML07",0.925656009320979,0.81598199894979,535,0.0634549377156022,2.17617266912828,-1.2294544445527,0.526232514314158
"ML08",0.541124548160187,-3.09370618745743,1660,0.113715245143224,1.76005798383318,-1.29740830912594,0.573336367232848
"ML09",0.790351243258251,-1.05113674416127,3498,0.0744510284998019,2.18275990408346,-1.2456738472822,0.42074022964128
